               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.054556,            0.036101,                   0,             0.60528,             0.73357,              0.6836,             0.27869,            0.058746,            0.020326,                   0,           0.0081685,           0.0081685,           0.0081685
                  39,            0.066448,            0.032223,                   0,             0.67766,             0.69565,             0.68983,             0.35284,            0.043827,            0.017292,                   0,            0.008119,            0.008119,            0.008119
                  40,            0.058168,            0.031969,                   0,             0.67766,             0.69565,             0.68983,             0.35284,            0.043827,            0.017292,                   0,           0.0080695,           0.0080695,           0.0080695
                  41,            0.058229,            0.037116,                   0,             0.68571,             0.69565,              0.7441,             0.43139,            0.038045,            0.016372,                   0,             0.00802,             0.00802,             0.00802
                  42,            0.054263,            0.030606,                   0,             0.39671,             0.85789,             0.56029,             0.30614,            0.049421,             0.01613,                   0,           0.0079705,           0.0079705,           0.0079705
                  43,            0.061515,             0.02844,                   0,             0.56428,             0.78845,             0.67408,             0.44581,            0.036845,            0.014855,                   0,            0.007921,            0.007921,            0.007921
                  44,            0.053452,            0.035148,                   0,             0.56428,             0.78845,             0.67408,             0.44581,            0.036845,            0.014855,                   0,           0.0078715,           0.0078715,           0.0078715
                  45,            0.047078,              0.0332,                   0,             0.69228,              0.7825,             0.66897,             0.35164,            0.037278,            0.015001,                   0,            0.007822,            0.007822,            0.007822
                  46,            0.048713,            0.032794,                   0,             0.54628,              0.7853,             0.59882,             0.30911,            0.036605,            0.015193,                   0,           0.0077725,           0.0077725,           0.0077725
                  47,            0.049895,            0.032531,                   0,             0.48152,             0.69565,             0.60593,               0.245,            0.045827,            0.015194,                   0,            0.007723,            0.007723,            0.007723
                  48,            0.056081,            0.030221,                   0,             0.48152,             0.69565,             0.60593,               0.245,            0.045827,            0.015194,                   0,           0.0076735,           0.0076735,           0.0076735
